produtos,CLAS,vencimento,ESTOQUE
LIXEIRA COM TAMPA E PEDAL 10LT,,,
LIXEIRA EG,,,
LIXEIRA GRANDE,,,
LUVA  N/ESTÉRIL G,CX,,6309.0
LUVA  N/ESTÉRIL M,CX,,167.0
LUVA  N/ESTÉRIL P,CX,,562.0
LUVA  N/ESTÉRIL PP,CX,,489.0
LUVA AMARELA G,,,
LUVA AMARELA M,,,
LUVA AMARELA P,,,
LUVA CIRÚGICA ESTÉRIL 6.5,UND,,2248.0
"LUVA CIRÚGICA ESTÉRIL 7,0",UND,,1574.0
"LUVA CIRÚGICA ESTÉRIL 7,5",UND,,1447.0
"LUVA CIRÚGICA ESTÉRIL 8,0",UND,,775.0
LUVA CIRÚGICA ESTERIO8.5,UND,,96.0
LUVA TÉRMICA METALIZADA,,,
LUVAS MUCAMBO LIMPEZA EG,,,
LUVAS MUCAMBO LIMPEZA G,,,
LUVAS MUCAMBO LIMPEZA M,,,
LUVAS MUCAMBO LIMPEZA P,,,
MACACÃO G,UND,,27.0
MACACÃO M,UND,,25.0
MACACÃO XG,UND,,28.0
MALHA TUBULAR  10cm/15m,UND,,51.0
MALHA TUBULAR  15cm/15m,NULO,,0.0
MALHA TUBULAR  20cm/15m,NULO,,0.0
MANGUEIRA DE JARDIM,,,
MANGUEIRA JARDIM ,,,
manta aluminizada de emergência,UND,,30.0
MARCA TEXTO,UND,mar-26,12.0
MARCA TEXTO VERDE,UND,fev-27,64.0
marcador preto,UND,,6.0
máscara anatômica de proteção facial antibacteriana reutilizável,NULO,,0.0
MÁSCARA CIRÚRGICA C/ ELASTICO,CX,,574.0
MASCARA De NEBULIZAÇÃO SOLIDOR INFANTIL 6 ml,UND,,14.0
MASCARA DE OXIGÊNIO ALTA CONCENT. ADULTO,UND,,151.0
MASCARA DE OXIGÊNIO ALTA CONCENT. INFANTIL,NULO,,0.0
MÁSCARA DESCARTÁVEL,,,
MÁSCARA KN 95,NULO,,0.0
MASCARA NEBULIZAÇÃO ADULTO   ,NULO,,0.0
MASCARA NEBULIZAÇÃO ADULTO/INFANTIL,NULO,,0.0
MASSA DE MODELAR,CX,,62.0
MESA GINECOLÓGICA,,,
MICRONEBULIZADOR ADULTO,UND,,100.0
MICRONEBULIZADOR INFANTIL,UND,,100.0
MICROONDAS ,,,
MULTIUSO,,,
ÓCULOS DE PROTEÇÃO,UND,,17.0
ÓLEO CICATRIZANTE  100ml (GIRASSOL),UND,,0.0
ÓLEO CICATRIZANTE  200ml (GIRASSOL),NULO,2026-07-01 00:00:00,65.0
OXÍMETRO ADULTO,UND,2025-07-01 00:00:00,15.0
OXÍMETRO INFANTIL,UND,,0.0
PÁ DE LIXO,,,
